inad_rd_pf_cr_rur_tot,inad_rd_pj_cr_rur_tot,ipca,spread_pf,spread_pj,spread_tot,selic,cdi,dolar_ptax,rendimento_medio_mensal_reais,tx_informalidade_p14m_ocupadas_pct,pessoas_14mais_mil,p14m_forca_trabalho_mil,p14m_ocupadas_mil,p14m_desocupadas_mil,p14m_fora_forca_trabalho_mil,tx_foca_trabalho_p14m_pct,tx_desocupacao_p14m_pct,insolacao_total_h,precipitacao_total_mm,temp_max_media_c,temp_min_media_c,umidade_media_pct,vento_vel_max_ms,vento_vel_media_ms,flag_pandemia,flag_greve_caminhoneiros,flag_eleicao_presidencial,flag_joesley_day,flag_impeachment,selic_lag_3,selic_lag_6,selic_lag_12,ipca_lag_3,ipca_lag_6,ipca_lag_12,tx_desocupacao_p14m_pct_lag_3,tx_desocupacao_p14m_pct_lag_6,tx_desocupacao_p14m_pct_lag_12,rendimento_medio_mensal_reais_lag_3,rendimento_medio_mensal_reais_lag_6,rendimento_medio_mensal_reais_lag_12,dolar_ptax_lag_3,dolar_ptax_lag_6,dolar_ptax_lag_12,target_lag_1,presidente_Dilma,presidente_Lula,presidente_Temer
2.2,0.89,-0.01,31.73,10.74,22.31,0.0507879999999999,0.050718,3.352268181818182,1941.0,39.1,162113.0,101562.0,89239.0,12323.0,60551.0,62.6,12.1,196.76,153.33,31.67,21.04,73.49,4.9,1.84,0.0,0.0,0.0,0.0,0.0,0.052531,0.052531,0.052531,0.37,0.24,0.53,11.9,11.4,9.1,1941.0,1941.0,1792.0,3.2563714285714283,3.4244772727272728,3.871136363636363,4.09,False,False,True
2.39,0.93,0.8,32.53,12.35,23.59,0.049115,0.049045,3.196609090909091,2014.0,39.3,162530.0,102010.0,87880.0,14130.0,60519.0,62.8,13.9,207.85,161.17,31.9,21.28,74.4,4.37,1.67,0.0,0.0,0.0,0.0,0.0,0.0521826,0.052531,0.052531,0.54,-0.1,1.75,12.1,11.9,11.0,1941.0,1941.0,1941.0,3.185845,3.2755666666666667,4.05235,3.95,False,False,True
2.51,0.8,0.58,32.9,11.67,23.55,0.047865,0.0477948888888888,3.1041944444444445,2014.0,39.3,162530.0,102010.0,87880.0,14130.0,60519.0,62.8,13.9,165.78,170.74,31.26,21.24,77.05,4.33,1.6,0.0,0.0,0.0,0.0,0.0,0.05166,0.052531,0.052531,0.22,0.26,0.39,12.1,11.9,11.0,1941.0,1941.0,1941.0,3.34203,3.209660869565217,3.973742105263157,3.98,False,False,True
2.72,0.79,0.48,32.6,11.79,23.5,0.045513,0.045442,3.127930434782609,2014.0,39.3,162530.0,102010.0,87880.0,14130.0,60519.0,62.8,13.9,190.83,175.54,31.03,20.85,77.26,4.18,1.55,0.0,0.0,0.0,0.0,0.0,0.0507879999999999,0.052531,0.052531,-0.01,0.37,-0.36,12.1,11.9,11.0,1941.0,1941.0,1941.0,3.352268181818182,3.2563714285714283,3.7039181818181817,4.0,False,False,True
2.84,0.95,-0.6,30.28,11.34,22.01,0.0435374444444444,0.0434664444444444,3.136172222222222,2014.0,39.8,162930.0,102588.0,89163.0,13425.0,60343.0,63.0,13.1,192.15,135.39,30.08,20.15,77.41,4.34,1.6,0.0,0.0,0.0,0.0,0.0,0.049115,0.0521826,0.052531,0.8,0.54,0.69,13.9,12.1,11.4,2014.0,1941.0,1941.0,3.196609090909091,3.185845,3.5658450000000004,4.01,False,False,True
2.86,0.83,1.56,28.11,11.18,20.77,0.041957,0.041886,3.209509090909091,2014.0,39.8,162930.0,102588.0,89163.0,13425.0,60343.0,63.0,13.1,192.3,116.71,29.42,19.36,77.27,4.21,1.56,0.0,0.0,0.0,1.0,0.0,0.047865,0.05166,0.052531,0.58,0.22,1.4,13.9,12.1,11.4,2014.0,1941.0,1941.0,3.1041944444444445,3.34203,3.539290476190476,4.04,False,False,True
2.69,0.77,-0.83,28.08,10.78,20.64,0.03837,0.038334,3.2953666666666663,2014.0,39.8,162930.0,102588.0,89163.0,13425.0,60343.0,63.0,13.1,204.92,70.55,28.93,17.8,74.17,4.56,1.76,0.0,0.0,0.0,0.0,0.0,0.045513,0.0507879999999999,0.052531,0.48,-0.01,0.24,13.9,12.1,11.4,2014.0,1941.0,1941.0,3.127930434782609,3.352268181818182,3.4244772727272728,4.1,False,False,True
2.91,0.78,1.28,28.92,11.4,21.41,0.0378527142857142,0.0378167142857142,3.206138095238096,2014.0,40.2,163330.0,103070.0,90176.0,12894.0,60260.0,63.1,12.5,216.97,56.54,27.83,16.08,69.88,5.12,1.98,0.0,0.0,0.0,0.0,0.0,0.0435374444444444,0.049115,0.052531,-0.6,0.8,-0.1,13.1,13.9,11.9,2014.0,2014.0,1941.0,3.136172222222222,3.196609090909091,3.2755666666666667,3.85,False,False,True
3.07,0.82,1.73,28.56,11.37,21.28,0.034749,0.034713,3.150917391304348,2014.0,40.2,163330.0,103070.0,90176.0,12894.0,60260.0,63.1,12.5,241.29,36.71,30.34,17.43,65.92,5.08,1.92,0.0,0.0,0.0,0.0,0.0,0.041957,0.047865,0.052531,1.56,0.58,0.26,13.1,13.9,11.9,2014.0,2014.0,1941.0,3.209509090909091,3.1041944444444445,3.209660869565217,3.95,False,False,True
3.15,0.83,0.24,26.98,10.45,20.01,0.0318266,0.0317898,3.13479,2014.0,40.2,163330.0,103070.0,90176.0,12894.0,60260.0,63.1,12.5,230.04,40.85,31.48,18.86,63.1,5.36,2.29,0.0,0.0,0.0,0.0,0.0,0.03837,0.045513,0.052531,-0.83,0.48,0.37,13.1,13.9,11.9,2014.0,2014.0,1941.0,3.2953666666666663,3.127930434782609,3.2563714285714283,3.93,False,False,True
